microbatches,observation_batch,loss_mean,loss_std,observed_mean_gradient_norm,mean_gradient_norm,gradient_signal_norm_sq,gradient_covariance_trace,gradient_noise_scale,gradient_noise_scale_resolved,pairwise_cosine_mean,pairwise_cosine_min,pairwise_cosine_max,micro_step,optimizer_step,samples_seen,candidates_scored,elapsed_s,wall_elapsed_s,nontraining_overhead_s,observation_wall_s,lr,physical_batch,accumulation_target,accumulation_pending,effective_batch,effective_weight_decay,gradient_noise_scale_ema,proposed_accumulation,gpu_h
4,16.0,0.923073336482048,0.009240064110125366,0.03100912478665906,0.030542414780793174,0.0009328391006420134,0.00011490687757031992,1.9708758347069608,True,0.9012054800987244,0.8203038573265076,0.9555224180221558,0,0,0,0,0.0,0.0,0.0,0.600277,1.1852554225435582e-07,64,1,0,64,0.01,1.9708758347069608,1,0.0
4,16.0,0.9225061982870102,0.0178196710075796,0.03171322273498216,0.031351429414725115,0.0009829121263464913,9.126547956839204e-05,1.4856339991674021,True,0.9187371134757996,0.8402054905891418,0.9566713571548462,1,1,64,0,0.826058,0.826058,3.290061,4.22924,2.3705108450871164e-07,64,1,0,64,0.01,1.8625578801868927,1,0.00022946055555555554
4,16.0,0.905732661485672,0.012743823067143674,0.03060074631475626,0.029567421734604686,0.0008742324280319735,0.00024869298795238137,4.551521631605015,True,0.8510381579399109,0.6813647150993347,0.9456102848052979,15,15,960,0,1.258236,36.966201,38.923563,40.286232,1.8964086760696931e-06,64,1,0,64,0.01,2.226994499229651,1,0.00034951
4,16.0,0.8681077361106873,0.012660023845984485,0.18957330883337775,0.18196020226106674,0.03310951520688832,0.011314096860587597,5.4674781143198325,True,0.755979061126709,0.6838308572769165,0.8296425342559814,237,237,15168,0,7.802683,103.672983,95.8703,103.798483,2.8209079056536684e-05,64,1,0,64,0.01,2.665217928917241,1,0.0021674119444444443
4,16.0,0.657679483294487,0.0030730249445277947,0.10499649369113148,0.0,0.0,0.04621364548802376,,False,-0.0030272603034973145,-0.6170392036437988,0.4984659254550934,3652,3652,233728,0,111.648487,265.229568,153.581081,265.349822,0.00043297380585516175,64,1,0,64,0.01,2.665217928917241,1,0.031013468611111112
4,16.0,0.6521265655755997,0.0038100386981605346,0.04150030036296571,0.031754435499581124,0.0010083441738970578,0.002855723025277257,45.313464972824626,True,0.25703683495521545,0.03846174106001854,0.5366269946098328,56248,56248,3599872,0,1714.373949,1925.361446,210.987497,1925.475427,0.0009298045254147912,64,1,0,64,0.01,4.697119782566633,1,0.4762149858333333
4,16.0,0.6513348519802094,0.003968172839400788,0.030616652837622375,0.009748407922416484,9.503145702183247e-05,0.0033693918958306313,567.2886854813221,True,0.031104376539587975,-0.08068367093801498,0.16581667959690094,93747,93747,5999808,0,3104.267393,3328.810147,224.542754,3328.931516,0.0007886328625556132,64,1,0,64,0.01,12.252540103034837,1,0.8622964980555555
4,16.0,0.6491528153419495,0.005627997574955383,0.048450326855520726,0.03958401637575532,0.0015668943524360657,0.003122159279882908,31.881248662656617,True,0.32927772402763367,0.19430477917194366,0.6036948561668396,131246,131246,8399744,0,4255.764627,4487.188413,231.423786,4487.318213,0.0005990586484373475,64,1,0,64,0.01,14.835014346665456,1,1.1821568408333332
4,16.0,0.6522323340177536,0.0015162619098770713,0.04258925933230495,0.03016738041661307,0.0009100708412006497,0.003615096677094698,63.557191610715975,True,0.1711888313293457,-0.15617063641548157,0.4649713337421417,168746,168746,10799744,0,5658.707587,5893.593998,234.886412,5893.724548,0.00039588212666719194,64,1,0,64,0.01,19.84555808084862,1,1.571863218611111
4,16.0,0.6508225947618484,0.0025542356328817893,0.03687979398040194,0.0028680435508631245,8.22567380964756e-06,0.005407574120908976,10518.43143026975,True,-0.0013920143246650696,-0.266566663980484,0.17614881694316864,206245,206245,13199680,0,6810.543962,7052.313249,241.769286,7052.445765,0.00021641683293457175,64,1,0,64,0.01,69.58583597887667,1,1.891817767222222
4,16.0,0.6519953608512878,0.004821856807972841,0.030464416930919634,0.0,0.0,0.0052786017768085,,False,-0.08146689087152481,-0.34898656606674194,0.380013644695282,243744,243744,15599616,0,8217.987856,8463.184588,245.196732,8463.301567,9.360689095433514e-05,64,1,0,64,0.01,69.58583597887667,1,2.2827744044444445
4,16.0,0.650834932923317,0.0007893584369472853,0.03268993197825019,0.0,0.0,0.0043381876312196255,,False,-0.0010751696536317468,-0.16696004569530487,0.21996836364269257,281243,281243,17999552,0,9375.012583,9620.209315,245.233541,9620.33862,5.000000003149576e-05,64,1,0,64,0.01,69.58583597887667,1,2.6041701619444444
