comparison,unit_id,candidate_dprime,baseline_dprime,dprime_delta
R9-R1,2143,12.917280806329618,12.767712642620369,0.1495681637092492
R9-R1,94,2.0266980042754232,2.022991939652688,0.003706064622735372
R9-R1,337,2.951338932087385,2.9575778903608403,-0.006238958273455442
R9-R1,1143,5.135836595267696,5.151864929183298,-0.01602833391560221
R9-R1,720,1.9954017273422653,1.9976716944812731,-0.0022699671390078446
R9-R1,664,0.9507382296330192,0.9554773327730264,-0.004739103140007139
R9-R1,1300,3.8300506251170714,3.841301897870723,-0.011251272753651786
R9-R1,1122,3.5749742929888155,3.5816078836854923,-0.006633590696676794
R9-R1,793,8.403511283195337,8.501634968275392,-0.0981236850800542
R9-R1,1129,1.8703174577128456,1.8734597714288328,-0.003142313715987166
R10-R1,2143,12.86026640401002,12.767712642620369,0.09255376138965055
R10-R1,94,2.0245513271906885,2.022991939652688,0.0015593875380006672
R10-R1,337,2.93681538600732,2.9575778903608403,-0.020762504353520228
R10-R1,1143,5.118429936877942,5.151864929183298,-0.03343499230535585
R10-R1,720,1.9976792328510715,1.9976716944812731,7.538369798387734e-06
R10-R1,664,0.935726015215904,0.9554773327730264,-0.01975131755712234
R10-R1,1300,3.827211738092221,3.841301897870723,-0.014090159778502365
R10-R1,1122,3.582265677025426,3.5816078836854923,0.0006577933399336544
R10-R1,793,8.47866500849958,8.501634968275392,-0.0229699597758124
R10-R1,1129,1.8893568265245144,1.8734597714288328,0.015897055095681623
R11-R1,2143,12.735494996340355,12.767712642620369,-0.03221764628001367
R11-R1,94,2.019069099984696,2.022991939652688,-0.003922839667991784
R11-R1,337,2.9525106240610985,2.9575778903608403,-0.005067266299741746
R11-R1,1143,5.1346206482769805,5.151864929183298,-0.017244280906317577
R11-R1,720,2.005182952843579,1.9976716944812731,0.007511258362306039
R11-R1,664,0.9505393938702708,0.9554773327730264,-0.004937938902755623
R11-R1,1300,3.841502543220993,3.841301897870723,0.00020064535026964592
R11-R1,1122,3.586380024474922,3.5816078836854923,0.004772140789429891
R11-R1,793,8.35471685692456,8.501634968275392,-0.146918111350832
R11-R1,1129,1.866465453989799,1.8734597714288328,-0.0069943174390338925
R12-R1,2143,12.772606919434653,12.767712642620369,0.004894276814283671
R12-R1,94,2.0195832841530024,2.022991939652688,-0.003408655499685498
R12-R1,337,2.9482321218476404,2.9575778903608403,-0.009345768513199904
R12-R1,1143,5.127235055088688,5.151864929183298,-0.024629874094610038
R12-R1,720,2.002114891280871,1.9976716944812731,0.004443196799597926
R12-R1,664,0.9483294836963476,0.9554773327730264,-0.007147849076678758
R12-R1,1300,3.823787956911172,3.841301897870723,-0.017513940959551277
R12-R1,1122,3.5626618564880967,3.5816078836854923,-0.018946027197395576
R12-R1,793,8.394059138634733,8.501634968275392,-0.10757582964065904
R12-R1,1129,1.8733969441815668,1.8734597714288328,-6.282724726602851e-05
R9-R11,2143,12.917280806329618,12.735494996340355,0.18178580998926286
R9-R11,94,2.0266980042754232,2.019069099984696,0.0076289042907271565
R9-R11,337,2.951338932087385,2.9525106240610985,-0.0011716919737136955
R9-R11,1143,5.135836595267696,5.1346206482769805,0.0012159469907153664
R9-R11,720,1.9954017273422653,2.005182952843579,-0.009781225501313884
R9-R11,664,0.9507382296330192,0.9505393938702708,0.0001988357627484838
R9-R11,1300,3.8300506251170714,3.841502543220993,-0.011451918103921432
R9-R11,1122,3.5749742929888155,3.586380024474922,-0.011405731486106685
R9-R11,793,8.403511283195337,8.35471685692456,0.04879442627077779
R9-R11,1129,1.8703174577128456,1.866465453989799,0.0038520037230467263
R12-R11,2143,12.772606919434653,12.735494996340355,0.03711192309429734
R12-R11,94,2.0195832841530024,2.019069099984696,0.0005141841683062864
R12-R11,337,2.9482321218476404,2.9525106240610985,-0.004278502213458157
R12-R11,1143,5.127235055088688,5.1346206482769805,-0.007385593188292461
R12-R11,720,2.002114891280871,2.005182952843579,-0.003068061562708113
R12-R11,664,0.9483294836963476,0.9505393938702708,-0.0022099101739231353
R12-R11,1300,3.823787956911172,3.841502543220993,-0.017714586309820923
R12-R11,1122,3.5626618564880967,3.586380024474922,-0.023718167986825467
R12-R11,793,8.394059138634733,8.35471685692456,0.039342281710172955
R12-R11,1129,1.8733969441815668,1.866465453989799,0.006931490191767864
