recipe_a,recipe_b,mean_dprime_difference,unit_bootstrap_95_low,unit_bootstrap_95_high,n_paired_units
R0 baseline adamw/cosine,R1 +warmup,-0.015078110761837826,-0.030717897070521125,-0.0021296267430445724,10
R0 baseline adamw/cosine,R2 one-cycle,0.031409521711690744,0.004459400418127512,0.07407334725864599,10
R0 baseline adamw/cosine,R3 adamw lr2e-3 tuned,0.029846627933723134,0.003552833279303683,0.0748860807853705,10
R0 baseline adamw/cosine,R4 lion,0.13139394931287415,0.021794868824600053,0.31351447281656686,10
R0 baseline adamw/cosine,R5 batch256,-0.0074853477448755925,-0.02410061735964648,0.007761527615713012,10
R1 +warmup,R2 one-cycle,0.04648763247352857,0.007721150351029704,0.0989975085716532,10
R1 +warmup,R3 adamw lr2e-3 tuned,0.04492473869556096,0.009590117510163823,0.10352212353397239,10
R1 +warmup,R4 lion,0.146472060074712,0.02470176750575384,0.34367954242920495,10
R1 +warmup,R5 batch256,0.007592763016962234,-0.00200902162041364,0.023453756626431115,10
R2 one-cycle,R3 adamw lr2e-3 tuned,-0.001562893777967611,-0.05982136246421246,0.05179952458995629,10
R2 one-cycle,R4 lion,0.09998442760118342,0.006172546621625531,0.27236100369197935,10
R2 one-cycle,R5 batch256,-0.03889486945656634,-0.076808041094363,-0.008590735225655526,10
R3 adamw lr2e-3 tuned,R4 lion,0.10154732137915104,0.012389758794364214,0.2412985359418876,10
R3 adamw lr2e-3 tuned,R5 batch256,-0.03733197567859873,-0.09732306707058047,0.0005603417030600796,10
R4 lion,R5 batch256,-0.13887929705774976,-0.33347888284414823,-0.024536275408086516,10
