recipe,recipe_name,seed,label,batch_size,samples_source,endpoint_dprime,endpoint_dprime_fixed,endpoint_snr,endpoint_amp_ratio,endpoint_fwhm_ratio,endpoint_temporal_cos,endpoint_spatial_cos,samples_to_dprime_4_20,samples_to_dprime_4_30,samples_to_dprime_4_35,dprime_at_1m,dprime_at_5m,dprime_at_10m,dprime_at_17_9m
R0,baseline,0,ib_r0_base,64,step_x_batch,4.350051984271356,4.387170670524169,6.91798415184021,0.9339985191822052,0.976388888888889,0.9964976727962493,0.9997985661029816,912461.3628058156,9494225.089305839,17990718.319806624,4.206467473422293,4.276146352139388,4.302976374469872,4.349466142575851
R0,baseline,1,ib_r0_s1,64,measured,4.362103354777704,4.395842141884951,6.913873338699341,0.9402153253555298,0.9963888888888889,0.9966501474380494,0.9997681736946106,333001.35449634684,4094774.142207655,13993473.76045489,4.250435765488617,4.318662974155805,4.338878961603425,4.3623568290832955
R0,baseline,2,ib_r0_s2,64,measured,4.371016028553104,4.40355019317232,6.933263516426086,0.9386000156402587,0.9963888888888889,0.9966595232486725,0.9997874677181244,176049.96390959225,5382641.703520922,13802950.221088003,4.235258878117693,4.287286165478805,4.332310139632504,4.3701328901200345
R1,+warmup,0,ib_r1_warmup,64,step_x_batch,4.365130095033193,4.400709021984393,6.933915543556213,0.9357621550559998,0.976388888888889,0.9965882241725922,0.9997718393802643,186286.8365408255,4203530.720927502,14283787.018970698,4.199094141867081,4.308021307777777,4.33272813457965,4.3645802635992546
R1,+warmup,1,ib_r1_s1,64,measured,4.342603883413127,4.375874218643647,6.895254063606262,0.939690238237381,0.976388888888889,0.996620100736618,0.9997668743133545,926280.7000886151,7115208.731141191,,4.213614173451038,4.286299944457304,4.311898912544936,4.3429152530665185
R1,+warmup,2,ib_r1_s2,64,measured,4.3662112935764466,4.397441493837938,6.953368735313416,0.9413233876228333,0.976388888888889,0.9966253936290741,0.9997933030128479,206140.999667708,5140608.650595793,13080996.278330078,4.2455369216142484,4.2958451561190465,4.340100851998386,4.365352706893899
R5,batch 256,0,ib_r5_bs256,256,step_x_batch,4.357537332016231,4.3944092303606945,6.925011372566223,0.940426129102707,0.976388888888889,0.9965519726276397,0.9998032748699188,310531.95906359877,2247025.4105323665,16405942.943315221,4.218826616705096,4.3048844613830095,4.319683390927748,4.357070737925697
R5,batch 256,1,ib_r5_s1,256,measured,4.365484045905939,4.399639217914851,6.918440937995911,0.9420078933238983,0.976388888888889,0.9965499520301819,0.9997830986976624,452329.5274402967,6670251.060620209,14898074.038615504,4.2460783606747245,4.285522372872534,4.3221718029490965,4.366306573711325
R5,batch 256,2,ib_r5_s2,256,measured,4.372989576147659,4.405077671404763,6.939443063735962,0.9388163149356842,0.976388888888889,0.9965742766857147,0.999775743484497,1004664.4918834581,2175125.857865375,8696947.871349134,4.199419467096106,4.2984788394271725,4.359186433513106,4.372808885640989
