comparison,unit_id,seed_0_delta,seed_1_delta,seed_2_delta,mean_dprime_delta,seeds_improved
R1-R0,2143,0.03750389419601774,-0.16384177360692043,0.00801790712532302,-0.03943999076185989,2
R1-R0,94,0.00447043002760017,-0.002252718764423456,-0.0012787028236238562,0.00031300281318428585,1
R1-R0,337,0.0036254763033380932,-0.012024257081129974,0.00435761443215954,-0.0013470554485441137,2
R1-R0,1143,0.02592775352945509,0.014384934929187132,-0.024710431613174322,0.005200752281822633,2
R1-R0,720,-0.0023422899313991774,-0.001600898307787757,0.0062901709608973455,0.0007823275739034704,1
R1-R0,664,0.010641197674559955,-0.001703625346956117,0.013899990926781403,0.00761252108479508,2
R1-R0,1300,0.01690373287595337,-0.002676805622187306,-0.008265489267542225,0.0019871459954079462,1
R1-R0,1122,-0.008980420976176351,-0.012673622794725503,-0.015741334736135926,-0.012465126169012594,0
R1-R0,793,0.07106785478238287,-0.02335016469832496,-0.02531785251328067,0.0074666125235924126,1
R1-R0,1129,-0.008036520863353491,0.010744217647493892,-0.005299222257978409,-0.0008638418246126692,1
R5-R0,2143,-0.03740954479866332,-0.05268496933583933,0.04536184765228235,-0.014910888827406765,1
R5-R0,94,0.003953402064865941,0.0035385046760292305,-0.004537171479711333,0.0009849117537279461,2
R5-R0,337,-0.0025916291306540273,-0.0022301622440088487,0.00922068452862801,0.0014662977179883778,1
R5-R0,1143,0.031570192342639025,0.05660955293769643,-0.009666815415807939,0.026170976621509173,2
R5-R0,720,-0.0021838888379250854,0.0066910081612543415,0.002895587024946078,0.0024675687827584447,2
R5-R0,664,0.017173507546150546,0.000980616759030828,-0.0008708820497381753,0.0057610807518144,2
R5-R0,1300,0.014809366737378316,0.010408020445928923,0.0009792928997023331,0.008732226694336523,3
R5-R0,1122,-0.009950255057513235,0.005037387177998731,-0.014490694363480383,-0.006467854080998296,1
R5-R0,793,0.06371347667266214,0.004228812607044219,-0.024061975428178783,0.014626771283842524,2
R5-R0,1129,-0.004231150090184377,0.0012281400972007361,0.014905602576904764,0.003967530861307041,2
