key,label,display,schedule,omission,parameters,code_ocean_runtime_s,code_ocean_runtime_h,runtime_reduction_vs_full96_om0,dprime_deep,dprime_deep_fixed,dprime_raw,snr_deep,amp_ratio,fwhm_ratio,temporal_cos,spatial_cos,weak_unit_dprime,other_six_dprime,dprime_delta_vs_base64,dprime_percent_vs_base64,weak_dprime_delta_vs_base64,other_six_dprime_delta_vs_base64
base64_om0,ib_r5_bs256,base64 2x,64-128-256-512,0,3149704,9554,2.653888888888889,0.42694337811900196,4.357537332016231,4.394409230360695,4.496968895228467,6.925011372566223,0.940426129102707,0.976388888888889,0.9965519726276397,0.9998032748699188,1.71489494802783,6.119298921341833,0.0,0.0,0.0,0.0
sqrt2_om0,ib_w96_gsqrt2_om0_s0,base96 growth sqrt2,96-136-192-272,0,1830896,9553,2.653611111111111,0.42700335892514396,4.339519158535147,4.375588671534645,4.496968895228467,6.917709136009217,0.9381608605384827,0.976388888888889,0.9966280400753021,0.9998309910297394,1.7123537186317401,6.0909627851374175,-0.018018173481084265,-0.4134944145790545,-0.0025412293960896115,-0.028336136204414036
depth2_om0,ib_w96_d2_om0_s0,base96 depth 2,96-192-384,0,1796200,9596,2.6655555555555557,0.42442418426103645,4.353841243151971,4.389185502910012,4.496968895228467,6.92187225818634,0.9400116622447967,0.976388888888889,0.9966745913028717,0.9998154044151306,1.7147256978997634,6.113251606653442,-0.0036960888642604715,-0.0848205897653272,-0.00016925012806662254,-0.006047314688389704
growth15_om0,ib_w96_g15_om0_s0,base96 growth 1.5x,96-144-216-324,0,2233936,9915,2.754166666666667,0.4052903071017274,4.359937314361037,4.396476489152429,4.496968895228467,6.917195582389832,0.9381137132644654,0.976388888888889,0.9967353403568268,0.999798858165741,1.7122223237127425,6.1250806414599,0.0023999823448059843,0.055076575642222056,-0.002672624315087413,0.005781720118068249
cap384_om0,ib_w96_cap384_om0_s0,base96 cap 384,96-192-384-384,0,4601320,14281,3.9669444444444446,0.14341410748560457,4.377349046049285,4.414063431384532,4.496968895228467,6.937352657318115,0.9404148876667022,0.976388888888889,0.9966332972049713,0.9998001098632813,1.7152121214253109,6.152106995798601,0.019811714033053617,0.4546539139777545,0.00031717339748088547,0.032808074456768775
full96_om0,ib_w96_om0_s0,base96 full 2x,96-192-384-768,0,6962152,16672,4.631111111111111,0.0,4.393884977608882,4.4273431529639,4.496968895228467,6.947493696212769,0.9413967609405518,0.976388888888889,0.9966769278049469,0.9998019516468049,1.716528043861056,6.178789600107433,0.03634764559265067,0.8341327411148678,0.001633095833225906,0.05949067876560051
sqrt2_om1,ib_w96_gsqrt2_om1_s0,base96 growth sqrt2,96-136-192-272,1,1832432,9654,2.6816666666666666,,4.358807270782811,4.388472859456938,4.496968895228467,7.700351619720459,0.876740300655365,1.0198412698412698,0.9848395347595215,0.9990018784999848,1.6017408023943966,6.196851583041755,0.0012699387665802476,0.029143497113601258,-0.11315414563343332,0.07755266169992263
depth2_om1,ib_w96_d2_om1_s0,base96 depth 2,96-192-384,1,1797736,9800,2.7222222222222223,,4.36508110147278,4.391121149274236,4.496968895228467,7.723608350753784,0.8822311997413635,1.0031746031746032,0.9859288156032562,0.9989481329917907,1.6049061372070321,6.205197744316613,0.007543769456548976,0.17312001898692803,-0.10998881082079798,0.08589882297478028
growth15_om1,ib_w96_g15_om1_s0,base96 growth 1.5x,96-144-216-324,1,2235472,10249,2.8469444444444445,,4.388622910626392,4.4129241264231505,4.496968895228467,7.71483838558197,0.8790195345878601,1.0031746031746032,0.9851341545581818,0.9990778744220734,1.6032416531941909,6.245543748914526,0.03108557861016049,0.7133749235322604,-0.11165329483363914,0.1262448275726936
full96_om1,ib_w96_om1_s0,base96 full 2x,96-192-384-768,1,6963688,16610,4.613888888888889,,4.414106574332431,4.440808786526538,4.496968895228467,7.7540891647338865,0.8938457787036895,1.0031746031746032,0.9871173202991486,0.9992335319519043,1.6375502263207813,6.26514413967353,0.05656924231619921,1.2981929472082032,-0.07734472170704862,0.14584521833169775
